Plate,BusCoach,City
A3YKH,B,Edinburgh
BT61DJO,M,Edinburgh
MX61LGF,B,Edinburgh
WA10GZP,M,Edinburgh
MH03EMH,B,Edinburgh
SN06HCC,B,Edinburgh
SN65ACV,B,Edinburgh
SN57HDF,B,Edinburgh
SO05CAM,M,Edinburgh
AD62AAA,C,Edinburgh
LJ59NDE,M,Edinburgh
AF14YMJ,M,Edinburgh
SG08GKE,M,Edinburgh
P111SMP,B,Edinburgh
DEZ4115,C,Edinburgh
SN10GKO,B,Edinburgh
ST61HWN,B,Edinburgh
SN15CCD,B,Edinburgh
PO14AXA,C,Edinburgh
SN16BWJ,B,Edinburgh
SN04AAZ,B,Edinburgh
SE14OAC,M,Edinburgh
SN10ENO,C,Edinburgh
YJ56YNH,B,Edinburgh
N200CHA,C,Edinburgh
LX58DJK,M,Edinburgh
YN16BNK,B,Edinburgh
SN10GJV,B,Edinburgh
FN63PWY,C,Edinburgh
PM63AAA,C,Edinburgh
TK07RAX,M,Edinburgh
BFZ3131,C,Edinburgh
SN04NGU,B,Edinburgh
JSV440,C,Edinburgh
KSK981,C,Edinburgh
WX13HNU,B,Edinburgh
N500CHA,C,Edinburgh
SN10GJU,B,Edinburgh
ST61HWJ,B,Edinburgh
A17PHO,B,Edinburgh
SK10XAT,M,Edinburgh
N600CHA,B,Edinburgh
SN04NGG,B,Edinburgh
YR16BNV,C,Edinburgh
SN60BMZ,M,Edinburgh
MX61LGE,B,Edinburgh
EB66AAA,C,Edinburgh
AS15JDS,C,Edinburgh
MX61LGA,B,Edinburgh
JR15AAA,C,Edinburgh
YN66VXS,C,Edinburgh
KSK951,C,Edinburgh
ND16AAA,C,Edinburgh
W7HET,M,Edinburgh
EN59ZYC,M,Edinburgh
LSK879,C,Edinburgh
SM02HPX,M,Edinburgh
YN13BXD,C,Edinburgh
LSK512,C,"Edinburgh, Aberdeen"
SX09LBA,M,Edinburgh
SJ66LKZ,C,Edinburgh
138ASV,C,Edinburgh
KSK952,C,Edinburgh
KSK979,C,Edinburgh
LSK844,C,"Edinburgh, Aberdeen"
KSK977,C,Edinburgh
SN57JDK,B,Edinburgh
JE12MCN,C,Edinburgh
SN06HBY,B,Edinburgh
FV57HHC,M,Edinburgh
SV59CHG,C,Edinburgh
LSK875,C,"Edinburgh, Aberdeen"
DY14UVK,B,Edinburgh
SN09FBE,B,Edinburgh
SN06JAU,B,Edinburgh
ST56VFZ,M,Edinburgh
ST62PFV,M,Edinburgh
LSK813,C,Edinburgh
SN09EZX,B,Edinburgh
FJ08KNY,C,Edinburgh
V28BUS,C,Edinburgh
SF59FYV,C,Edinburgh
SP57BBU,B,Edinburgh
L60BAY,C,Edinburgh
EF16TZS,B,Edinburgh
V650PGG,B,Edinburgh
PN13TFK,C,Edinburgh
YL64BAA,M,Edinburgh
KSK980,C,Edinburgh
YN16WUX,C,Edinburgh
KSK976,C,Edinburgh
VU08VXW,M,Edinburgh
SF07ETA,M,Edinburgh
BL16FZW,C,Edinburgh
X9TCL,C,Edinburgh
L9HAN,B,Edinburgh
AF14YRR,M,Edinburgh
SL62FKN,B,Edinburgh
LA63TRA,C,Edinburgh
SN09FBF,B,Edinburgh
N726LTN,B,Edinburgh
YN53CHY,C,Edinburgh
R14THO,C,Edinburgh
SN14CYJ,B,Edinburgh
YN08MPV,C,Edinburgh
SN57MSU,B,Edinburgh
M12DMD,M,Edinburgh
KSK978,C,Edinburgh
BV56GXZ,M,Edinburgh
YN16BPU,C,Edinburgh
PO16HSU,C,Edinburgh
SV14ENP,C,Edinburgh
SN14DKV,B,Edinburgh
YX14EGK,B,Edinburgh
N700CHA,C,Edinburgh
SN14DKO,B,Edinburgh
SN15CBU,C,Edinburgh
OV63XCP,C,Edinburgh
SN16BPZ,B,Edinburgh
SN15BYB,B,Edinburgh
YX11COU,B,Edinburgh
SF13HTL,B,Edinburgh
GIB1558,M,Edinburgh
YX10BHE,B,Edinburgh
LX56FUT,M,Edinburgh
SN16BWH,B,Edinburgh
AK62KNW,M,Edinburgh
AR65AAA,C,Edinburgh
BV16WSY,M,Edinburgh
X555EMH,C,Edinburgh
YD12ZDN,M,Edinburgh
YSU196,C,Edinburgh
SF65CZS,C,Edinburgh
RA06OHZ,M,Edinburgh
OUJ969,C,Edinburgh
PSU617,C,"Edinburgh, Aberdeen"
KV60WZE,B,Edinburgh
WA14GGJ,M,Edinburgh
YB05CEF,M,Edinburgh
SH61HKP,C,Edinburgh
SN16BOF,C,Edinburgh
GX65LHN,B,Edinburgh
SN14CYK,B,Edinburgh
SD58RVK,M,Edinburgh
LSK871,C,Edinburgh
ST07UWW,M,Edinburgh
N100CHA,C,Edinburgh
SP56EBN,B,Edinburgh
SN14DKF,B,Edinburgh
SP56EBO,B,Edinburgh
SV59CHX,C,Edinburgh
SG11ZXW,C,Edinburgh
SO65UFK,B,Edinburgh
SN15BYA,B,Edinburgh
SN08EHE,M,Edinburgh
SB63GOX,B,Edinburgh
YP64WOD,B,Edinburgh
PSU375,C,Edinburgh
PO15GVD,C,Edinburgh
NDO609,C,Edinburgh
SK55AEN,M,Edinburgh
NA64WGN,B,Edinburgh
SK63LDL,M,Edinburgh
YJ55YHN,B,Edinburgh
FY52FVA,M,Edinburgh
HSK647,C,"Edinburgh, Aberdeen"
NJ52URF,M,Edinburgh
N300CHA,C,Edinburgh
WA07BHE,C,Edinburgh
YJ64BGO,B,Edinburgh
SM56CYA,M,Edinburgh
MT60UMD,M,Edinburgh
N15GSM,B,Edinburgh
JR16AAA,C,Edinburgh
SJ16CVL,C,Edinburgh
UUI3606,M,Edinburgh
SV08GXL,C,Edinburgh
LA16TRA,C,Edinburgh
A16RNY,B,Edinburgh
SJ16CUA,C,Edinburgh
122ASV,C,Edinburgh
YJ16EMK,C,Edinburgh
AR16AAA,C,Edinburgh
YJ16EMF,C,Edinburgh
SN15BYX,B,Edinburgh
SP11VHT,B,Edinburgh
BX54ZBG,M,Edinburgh
AK14MJU,M,Edinburgh
SF65CZP,C,Edinburgh
DK65AOX,B,Edinburgh
SA57HWB,M,Edinburgh
HD53HVK,M,Edinburgh
SN15BXX,B,Edinburgh
SD53EOH,B,Edinburgh
YH63BYL,B,Edinburgh
SN04AEW,B,Edinburgh
SK52OHP,B,Edinburgh
SN04AEV,B,Edinburgh
SK52OGW,B,Edinburgh
SN16CFD,C,Edinburgh
YN13GDV,C,Edinburgh
SK52OHR,B,Edinburgh
SK52OHC,B,Edinburgh
SN10GJK,B,Edinburgh
ST62EVK,B,Edinburgh
ST59UZR,M,Edinburgh
SK52OHB,B,Edinburgh
KE56KKO,M,Edinburgh
SK52OHO,B,Edinburgh
BX65KYP,M,Edinburgh
SN06HBX,B,Edinburgh
HIL5349,C,Edinburgh
HIL5347,C,Edinburgh
SN12CDE,M,Edinburgh
SN06HBO,B,Edinburgh
ST07OTH,M,Edinburgh
LM51MOW,B,Edinburgh
SJ53CUV,C,Edinburgh
WA15BVY,C,Edinburgh
DK65AOH,B,Edinburgh
R943SNE,M,Edinburgh
SN06GOX,B,Edinburgh
HIL4336,C,Edinburgh
SM14VZR,M,Edinburgh
SF13CYZ,M,Edinburgh
BG14OOF,C,Edinburgh
L823VRP,M,Edinburgh
B18DWA,C,Edinburgh
DK65AOJ,B,Edinburgh
HIL2464,C,Edinburgh
RRY342,C,Edinburgh
SW51LWZ,M,Edinburgh
SV55YHC,M,Edinburgh
KX53SBY,B,Edinburgh
EA65ZVR,M,Edinburgh
