BusCoach,City,Plate
C,Edinburgh,JR15AAA
C,Edinburgh,YN66VXS
C,Edinburgh,KSK951
C,Edinburgh,ND16AAA
M,Edinburgh,W7HET
M,Edinburgh,EN59ZYC
C,Edinburgh,LSK879
M,Edinburgh,SM02HPX
C,Edinburgh,YN13BXD
C,Edinburgh,LSK512
M,Edinburgh,SX09LBA
C,Edinburgh,SJ66LKZ
C,Edinburgh,138ASV
C,Edinburgh,KSK952
C,Edinburgh,KSK979
C,Edinburgh,LSK844
C,Edinburgh,KSK977
B,Edinburgh,SN57JDK
C,Edinburgh,JE12MCN
B,Edinburgh,SN06HBY
M,Edinburgh,FV57HHC
C,Edinburgh,SV59CHG
C,Edinburgh,LSK875
B,Edinburgh,DY14UVK
B,Edinburgh,SN09FBE
B,Edinburgh,SN06JAU
M,Edinburgh,ST56VFZ
M,Edinburgh,ST62PFV
C,Edinburgh,LSK813
B,Edinburgh,SN09EZX
C,Edinburgh,FJ08KNY
C,Edinburgh,V28BUS
C,Edinburgh,SF59FYV
B,Edinburgh,SP57BBU
C,Edinburgh,L60BAY
B,Edinburgh,EF16TZS
B,Edinburgh,V650PGG
C,Edinburgh,PN13TFK
M,Edinburgh,YL64BAA
C,Edinburgh,KSK980
C,Edinburgh,YN16WUX
C,Edinburgh,KSK976
M,Edinburgh,VU08VXW
M,Edinburgh,SF07ETA
C,Edinburgh,BL16FZW
C,Edinburgh,X9TCL
B,Edinburgh,L9HAN
M,Edinburgh,AF14YRR
B,Edinburgh,SL62FKN
C,Edinburgh,LA63TRA
B,Edinburgh,SN09FBF
B,Edinburgh,N726LTN
C,Edinburgh,YN53CHY
C,Edinburgh,R14THO
B,Edinburgh,SN14CYJ
C,Edinburgh,YN08MPV
B,Edinburgh,SN57MSU
M,Edinburgh,M12DMD
C,Edinburgh,KSK978
M,Edinburgh,BV56GXZ
C,Edinburgh,YN16BPU
C,Edinburgh,PO16HSU
C,Edinburgh,SV14ENP
B,Edinburgh,SN14DKV
B,Edinburgh,YX14EGK
C,Edinburgh,N700CHA
B,Edinburgh,SN14DKO
C,Edinburgh,SN15CBU
C,Edinburgh,OV63XCP
B,Edinburgh,SN16BPZ
B,Edinburgh,SN15BYB
B,Edinburgh,YX11COU
B,Edinburgh,SF13HTL
M,Edinburgh,GIB1558
B,Edinburgh,YX10BHE
M,Edinburgh,LX56FUT
B,Edinburgh,SN16BWH
M,Edinburgh,AK62KNW
C,Edinburgh,AR65AAA
M,Edinburgh,BV16WSY
C,Edinburgh,X555EMH
M,Edinburgh,YD12ZDN
C,Edinburgh,YSU196
C,Edinburgh,SF65CZS
M,Edinburgh,RA06OHZ
C,Edinburgh,OUJ969
C,Edinburgh,PSU617
B,Edinburgh,KV60WZE
M,Edinburgh,WA14GGJ
M,Edinburgh,YB05CEF
C,Edinburgh,SH61HKP
C,Edinburgh,SN16BOF
B,Edinburgh,GX65LHN
B,Edinburgh,SN14CYK
M,Edinburgh,SD58RVK
C,Edinburgh,LSK871
M,Edinburgh,ST07UWW
C,Edinburgh,N100CHA
B,Edinburgh,SP56EBN
B,Edinburgh,SN14DKF
B,Edinburgh,SP56EBO
C,Edinburgh,SV59CHX
C,Edinburgh,SG11ZXW
B,Edinburgh,SO65UFK
B,Edinburgh,SN15BYA
M,Edinburgh,SN08EHE
B,Edinburgh,SB63GOX
B,Edinburgh,YP64WOD
C,Edinburgh,PSU375
C,Edinburgh,PO15GVD
C,Edinburgh,NDO609
M,Edinburgh,SK55AEN
B,Edinburgh,NA64WGN
M,Edinburgh,SK63LDL
B,Edinburgh,YJ55YHN
M,Edinburgh,FY52FVA
C,Edinburgh,HSK647
M,Edinburgh,NJ52URF
C,Edinburgh,N300CHA
C,Edinburgh,WA07BHE
B,Edinburgh,YJ64BGO
M,Edinburgh,SM56CYA
M,Edinburgh,MT60UMD
B,Edinburgh,N15GSM
C,Edinburgh,JR16AAA
C,Edinburgh,SJ16CVL
M,Edinburgh,UUI3606
C,Edinburgh,SV08GXL
C,Edinburgh,LA16TRA
B,Edinburgh,A16RNY
C,Edinburgh,SJ16CUA
C,Edinburgh,122ASV
C,Edinburgh,YJ16EMK
C,Edinburgh,AR16AAA
C,Edinburgh,YJ16EMF
B,Edinburgh,SN15BYX
B,Edinburgh,SP11VHT
M,Edinburgh,BX54ZBG
M,Edinburgh,AK14MJU
C,Edinburgh,SF65CZP
B,Edinburgh,DK65AOX
M,Edinburgh,SA57HWB
M,Edinburgh,HD53HVK
B,Edinburgh,SN15BXX
B,Edinburgh,SD53EOH
B,Edinburgh,YH63BYL
B,Edinburgh,SN04AEW
B,Edinburgh,SK52OHP
B,Edinburgh,SN04AEV
B,Edinburgh,SK52OGW
C,Edinburgh,SN16CFD
C,Edinburgh,YN13GDV
B,Edinburgh,SK52OHR
B,Edinburgh,SK52OHC
B,Edinburgh,SN10GJK
B,Edinburgh,ST62EVK
M,Edinburgh,ST59UZR
B,Edinburgh,SK52OHB
M,Edinburgh,KE56KKO
B,Edinburgh,SK52OHO
M,Edinburgh,BX65KYP
B,Edinburgh,SN06HBX
C,Edinburgh,HIL5349
C,Edinburgh,HIL5347
M,Edinburgh,SN12CDE
B,Edinburgh,SN06HBO
M,Edinburgh,ST07OTH
B,Edinburgh,LM51MOW
C,Edinburgh,SJ53CUV
C,Edinburgh,WA15BVY
B,Edinburgh,DK65AOH
M,Edinburgh,R943SNE
B,Edinburgh,SN06GOX
C,Edinburgh,HIL4336
M,Edinburgh,SM14VZR
M,Edinburgh,SF13CYZ
C,Edinburgh,BG14OOF
M,Edinburgh,L823VRP
C,Edinburgh,B18DWA
B,Edinburgh,DK65AOJ
C,Edinburgh,HIL2464
C,Edinburgh,RRY342
M,Edinburgh,SW51LWZ
M,Edinburgh,SV55YHC
B,Edinburgh,KX53SBY
M,Edinburgh,EA65ZVR
B,Edinburgh,SN62AXO
B,Edinburgh,PN52ZVO
M,Edinburgh,YU52VRD
C,Edinburgh,USY858
B,Edinburgh,SN62AXU
M,Edinburgh,SK15KWY
C,Edinburgh,SS61PCH
B,Edinburgh,SN62AUC
M,Edinburgh,HX64DVB
M,Edinburgh,SN06HCF
M,Edinburgh,HX64DNN
C,Edinburgh,B13DWA
C,Edinburgh,B19DWA
C,Edinburgh,B14DWA
C,Edinburgh,B17DWA
C,Edinburgh,B15DWA
B,Edinburgh,HX64DLN
B,Edinburgh,SN61FOM
M,Edinburgh,SF09OLT
M,Edinburgh,N16JSB
B,Edinburgh,SN61FOJ
B,Edinburgh,BG12NWY
M,Edinburgh,ST07UWZ
M,Edinburgh,YD13FWV
M,Edinburgh,HX64DVT
M,Edinburgh,HX64DNJ
M,Edinburgh,ST07SVX
C,Edinburgh,UAF780
M,Edinburgh,SL64BZT
M,Edinburgh,SN13DSY
B,Edinburgh,DG16JXE
C,Edinburgh,W66AMA
C,Edinburgh,SS63PCH
C,Edinburgh,SS14PCH
B,Edinburgh,SN60BPX
B,Edinburgh,DG16JXS
M,Edinburgh,SB58JXD
B,Edinburgh,RIG6495
B,Edinburgh,DG16JXU
B,Edinburgh,DG16JXT
B,Edinburgh,DG16JXF
M,Edinburgh,SN06GOU
B,Edinburgh,SN10GKP
M,Edinburgh,SK10XAV
C,Edinburgh,ND63AAA
B,Edinburgh,BU14EHW
C,Edinburgh,BX65WDA
B,Edinburgh,YM65LEF
M,Edinburgh,ST07SVZ
C,Edinburgh,WE60EVE
B,Edinburgh,Y10EVE
M,Edinburgh,SO55YXU
M,Edinburgh,SN65CJJ
B,Edinburgh,SN60BPZ
B,Edinburgh,V5EVE
B,Edinburgh,SN55FCM
B,Edinburgh,E16JSB
B,Edinburgh,DK65AOG
C,Edinburgh,OO15TSH
M,Edinburgh,RX04RXD
C,Edinburgh,KIB545
B,Edinburgh,SN06JCJ
C,Edinburgh,JSU550
B,Edinburgh,AY15ZXU
B,Edinburgh,RIG6496
B,Edinburgh,HY13HRU
B,Edinburgh,OU14AOZ
C,Edinburgh,BX16CLU
M,Edinburgh,SN11CHY
M,Edinburgh,SK10KXZ
C,Edinburgh,PSU698
M,Edinburgh,SN10EPK
C,Edinburgh,LSU689
C,Edinburgh,784EYB
M,Edinburgh,EN65HBX
C,Edinburgh,PSU614
B,Edinburgh,HN12NZE
B,Edinburgh,SN57HDJ
B,Edinburgh,SN61FOP
M,Edinburgh,ST59NHK
M,Edinburgh,ST59RNO
B,Edinburgh,X700BUS
M,Edinburgh,BU05EXZ
B,Edinburgh,SP53GPO
B,Edinburgh,GK15TZM
M,Edinburgh,KV06JYU
C,Edinburgh,KSK986
M,Edinburgh,KS08XRP
B,Edinburgh,RIG6490
B,Edinburgh,ET65HVE
B,Edinburgh,RIG6498
B,Edinburgh,SF13HTN
M,Edinburgh,SN16BWM
M,Edinburgh,SN16BWO
M,Edinburgh,LJ58NUM
B,Edinburgh,LT08SVU
B,Edinburgh,YJ62JWW
B,Edinburgh,YJ62JVX
M,Edinburgh,KX10FGK
C,Edinburgh,N19PBS
B,Edinburgh,SN04ABF
M,Edinburgh,J5EGT
B,Edinburgh,SN06HCA
M,Edinburgh,WF13XER
B,Edinburgh,N163TBO
B,Edinburgh,SN55HFD
M,Edinburgh,BU56FDE
B,Edinburgh,KN53WJZ
M,Edinburgh,BF10LWN
C,Edinburgh,YN13GDX
B,Edinburgh,T13ECL
B,Edinburgh,X226WNO
B,Edinburgh,YX59DZE
M,Edinburgh,FJ09ZVY
M,Edinburgh,YJ09KLX
M,Edinburgh,AD56LOA
M,Edinburgh,SH58BLN
M,Edinburgh,SN05NXT
B,Edinburgh,N800CHA
B,Edinburgh,SN57HCP
C,Edinburgh,PN08CMX
B,Edinburgh,SF08NTK
B,Edinburgh,SK52OGY
M,Edinburgh,CY64GGX
B,Edinburgh,SK52OGU
B,Edinburgh,SN62AUK
B,Edinburgh,BT64RNO
C,Edinburgh,P121JNF
B,Edinburgh,Y6BUS
C,Edinburgh,PJI3746
B,Edinburgh,SN57HCY
M,Edinburgh,SN16BVP
M,Edinburgh,R442AJO
M,Edinburgh,BX10CFN
B,Edinburgh,SN10GKL
C,Edinburgh,WUH704
M,Edinburgh,T70JYM
M,Edinburgh,SK12RWJ
C,Edinburgh,RM16AAA
C,Edinburgh,YRR436
B,Edinburgh,ST06DOH
B,Edinburgh,SF64NRV
B,Edinburgh,SN10GKE
B,Edinburgh,SN55JVJ
B,Edinburgh,SN55JVP
B,Edinburgh,SN55JVL
B,Edinburgh,H9LRX
B,Edinburgh,SN10ETO
B,Edinburgh,SN55JVA
B,Edinburgh,SN57HDA
B,Edinburgh,SN06JAO
M,Edinburgh,ST59ENC
B,Edinburgh,Y199GBO
